## Sent. Source Node= g; Sequence Number = 1, time = 2021-06-04 11:39:33.262682
DestNode = g; Distance = 0; Neighbor = 42334
DestNode = h; Distance = 4; Neighbor = 42335
DestNode = i; Distance = 50; Neighbor = 42336
## Sent. Source Node= g; Sequence Number = 2, time = 2021-06-04 11:39:38.270590
DestNode = g; Distance = 0; Neighbor = 42334
DestNode = h; Distance = 4; Neighbor = 42335
DestNode = i; Distance = 50; Neighbor = 42336
## Sent. Source Node= g; Sequence Number = 3, time = 2021-06-04 11:39:43.283100
DestNode = g; Distance = 0; Neighbor = 42334
DestNode = h; Distance = 4; Neighbor = 42335
DestNode = i; Distance = 50; Neighbor = 42336
## Sent. Source Node= g; Sequence Number = 4, time = 2021-06-04 11:39:48.288789
DestNode = g; Distance = 0; Neighbor = 42334
DestNode = h; Distance = 4; Neighbor = 42335
DestNode = i; Distance = 50; Neighbor = 42336
## Sent. Source Node= g; Sequence Number = 5, time = 2021-06-04 11:39:53.296387
DestNode = g; Distance = 0; Neighbor = 42334
DestNode = h; Distance = 4; Neighbor = 42335
DestNode = i; Distance = 50; Neighbor = 42336
## Sent. Source Node= g; Sequence Number = 6, time = 2021-06-04 11:39:58.312798
DestNode = g; Distance = 0; Neighbor = 42334
DestNode = h; Distance = 4; Neighbor = 42335
DestNode = i; Distance = 50; Neighbor = 42336
## Sent. Source Node= g; Sequence Number = 7, time = 2021-06-04 11:40:03.327588
DestNode = g; Distance = 0; Neighbor = 42334
DestNode = h; Distance = 4; Neighbor = 42335
DestNode = i; Distance = 50; Neighbor = 42336
## Sent. Source Node= g; Sequence Number = 8, time = 2021-06-04 11:40:08.336182
DestNode = g; Distance = 0; Neighbor = 42334
DestNode = h; Distance = 4; Neighbor = 42335
DestNode = i; Distance = 50; Neighbor = 42336
## Sent. Source Node= g; Sequence Number = 9, time = 2021-06-04 11:40:13.346714
DestNode = g; Distance = 0; Neighbor = 42334
DestNode = h; Distance = 4; Neighbor = 42335
DestNode = i; Distance = 50; Neighbor = 42336
